Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C104, C105, C106, C107, C108, C109, C110, C111, C113, C205, C207, C209, C210, C213, C215, C216, C217, C219",C_0603,19,100n,C14663
"C102, C103, C211, C212",1210,4,100u/16V,C90143
"C112, C206, C208",C_0603,3,10n,C57112
"C201, C202, C203, C204, C214, C218",C_1206_(1.6),6,4.7uF/10V,C29823
"D101, D201",D_SOD-123_2.85x1.8x1.3,2,SM4007PL,C64898
"D102, D103, D106",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,3,WS2812B,C2843785
"D104, D105",0603,2,PWR_ESC_BB,C2286
D202,D_SMA,1,B340A,C85098
D203,LED_0805,1,5V,C2297
D204,LED_0805,1,3.3V,C2297
D205,LED_0805,1,ESC_BB,C2297
D206,LED_0805,1,ESC_SB,C2297
J101,IDC-Header_2x05_P2.54mm_Vertical,1,PROG/JTAG,C5665
J102,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,TO PUSH BUTTON,C161870
J103,PinHeader_1x03_P2.54mm_Vertical,1,ESC_BB,C161870
J104,PinHeader_1x03_P2.54mm_Vertical,1,ESC_SB,C161870
J105,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,RS232_Option,C98734
J106,Header_1x04_P2.54_Male,1,Compass,C144395
J201,AMASS_XT60-M_1x02_P7.20mm_Vertical,1,Accu,C98733
J202,JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical,1,LoadbalanceAccu1,C5341206
J203,JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical,1,LoadbalanceAccu2,C5341206
J204,JST_XH_B10B-XH-A_1x10_P2.50mm_Vertical,1,Conn_01x10,C7434315
J205,AMASS_XT60-F_1x02_P7.20mm_Vertical,1,PWR_Charger,C98733
J206,JST_XH_B7B-XH-A_1x07_P2.50mm_Vertical,1,LoadbalanceCharger,C5341206
J207,AMASS_XT60-F_1x02_P7.20mm_Vertical,1,ESCSB,C98734
J208,AMASS_XT60-F_1x02_P7.20mm_Vertical,1,ESCBB,C98734
JP101,SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm,1,5V/3.3V,
L201,L_6.6x7.0mm,1,33uH/2A,C177245
L202,FTC252012S,1,10uH,C5832376
"Q101, Q201, Q202, Q203, Q204, Q205, Q206, Q207, Q208",SOT-23,9,AO3400A,C20917
"R101, R102, R205",R_0603,3,10K,C25804
"R103, R104, R105, R106, R110, R111",R_0603,6,100,C22775
R107,R_0603,1,820,C21190
"R108, R109",R_0603,2,2.2k,C21190
"R112, R113, R208, R209",R_0603,4,1.8k,C4177
"R201, R203, R207",R_0603,3,1k,C21190
R202,R_0603,1,6.2k,C25804
R204,R_0603,1,18K,C25810
R206,R_0603,1,1.8k,
R210,R_0603,1,82K,C23254
R211,R_0603,1,15K,C22809
SW201,SS-12D10L5,1,SS-12D11-G050/On-Off,C319012
TP201,Testpoint_0.9x1.5,1,Vcell,
TP202,Testpoint_0.9x1.5,1,GND,
TP203,Testpoint_0.9x1.5,1,0.795V,
TP204,Testpoint_0.9x1.5,1,5V,
U101,ESP32-WROOM-32,1,ESP32-WROOM-32E_(visible_peripherals),C82899
U102,SOT-23-6,1,USBLC6-4SC6,C5197386
U103,Texas_R-PDSO-G6,1,LTC4311,C580856
"U104, U105, U202, U203",SOT-23-5,4,SN74LV1T34DBV,C100024
U201,HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.4x3.2mm_ThermalVias,1,TPS5430DDAR,C9864
U204,SOT-23-6,1,TLV61046ADB,C464815
